Word,Val,AbsVal,Sent,AbsSent,Modality
acidic,5.539591837,1.094426701,0.140979167,0.550524759,Taste
acrid,5.173947368,1.198603117,0.27927027,0.752406679,Smell
alcoholic,5.557227723,1.297204591,0.319635417,0.589180028,Taste
antiseptic,5.511794872,1.034930669,0.08225641,0.634669083,Smell
aromatic,5.952941176,1.153099047,0.528716418,0.638933108,Smell
astringent,5.965,1.184922458,0.409052632,0.842423532,Taste
barbecued,6.052777778,1.240213159,0.645368421,0.917268943,Taste
beery,6.072142857,1.711373184,0.300266667,0.859998953,Taste
bitter,5.124433249,1.295432917,-0.088536082,0.712386112,Taste
bland,5.752285714,1.030387858,0.230095238,0.720230815,Taste
briny,5.854210526,1.410930726,0.601631579,0.860166986,Taste
burning,5.284299287,1.023708932,0.191967419,0.55767471,Smell
burnt,5.688061224,1.067432949,0.39527835099999997,0.671138715,Smell
buttery,5.981587302,1.137374319,0.710060606,0.777586702,Taste
cheesy,5.712931034,1.050198459,-0.023553571,0.776446989,Taste
chewy,6.031666667,1.19535851,0.844375,0.862762759,Taste
citrusy,6.394166667,1.404294227,0.767166667,1.068507852,Taste
cloying,5.882222222,1.263218829,0.277192308,0.798193516,Taste
creamy,5.915211268,0.969966952,0.596403974,0.759087894,Taste
delicious,5.820344828,1.248790013,0.393941176,0.700223481,Taste
eggy,6.436,1.777691843,1.07675,1.327757852,Taste
fatty,5.365283019,0.945268198,0.203791667,0.693666667,Taste
fetid,5.210606061,1.234871678,-0.060294118,0.840940253,Smell
fishy,5.7956,1.158830212,0.143425926,0.649982063,Smell
fragrant,5.860545455,1.172167354,0.637763636,0.796209993,Smell
fresh,5.453644159,1.058009421,0.247532468,0.677849549,Smell
fruity,5.958382353,1.080191784,0.570310811,0.75977791,Taste
garlicky,5.971944444,1.211602048,0.610111111,0.797176263,Taste
honeyed,5.940416667,1.101602048,0.292130435,0.922658319,Taste
jammy,5.517142857,1.41087901,0.192,0.636890634,Taste
juicy,5.674646465,1.117233463,0.243393204,0.600307655,Taste
lemony,6.201777778,1.355127672,0.780625,0.91405279,Taste
malty,5.87,0.967252194,0.71625,1.344011777,Taste
meaty,5.5027433630000004,0.929706976,0.306575221,0.684809062,Taste
mild,4.81497553,1.299486783,-0.01188551,0.76000724,Taste
minty,6.074827586,1.194800501,0.5178,0.750003141,Taste
mushroomy,5.5,1.013691843,0.0712,0.244796859,Taste
musky,5.776756757,1.327421682,0.542472222,0.872534757,Smell
musty,5.468288288,0.919022527,0.176432692,0.589609997,Smell
noxious,4.849032258,1.110612134,0.002,0.677447373,Smell
nutty,6.013333333,1.128756244,0.327776699,0.626130025,Taste
odorous,5.362857143,1.060769194,0.153619048,0.520100473,Smell
oniony,5.8725,1.495576536,0.463125,1.133378926,Taste
palatable,5.721764706,0.975338843,-0.117984375,0.461166968,Taste
peachy,6.249565217,1.18571829,0.63812,0.711728166,Taste
peppery,5.613488372,1.088246563,0.64148,0.880566909,Taste
perfumed,5.936666667,1.217066264,0.560642857,0.646564321,Smell
pungent,5.657480916,1.064579769,0.345969231,0.791636567,Smell
putrid,5.175081967,1.324022584,-0.031576271,0.739303754,Smell
rancid,5.129649123,1.254790728,0.064018519,0.766541108,Smell
reeking,4.63047619,1.290073371,-0.255,0.776364289,Smell
ripe,5.779674797,1.190499841,0.360181818,0.80877701,Taste
roasted,5.898198198,1.000643968,0.59590678,0.769676145,Taste
salty,5.693988764,1.125207068,0.366546961,0.661932775,Taste
savory,5.915,1.112931422,0.554269231,0.767600039,Taste
scented,5.828333333,1.142618569,0.429034483,0.719776793,Smell
scentless,5.755,0.691153072,0.2435,0.7045,Smell
smelly,5.176338028,0.971852545,0.100293233,0.523363618,Smell
smoky,5.538823529,1.023393333,0.366246753,0.737585865,Smell
sour,5.491092437,1.20917879,0.140840164,0.693063406,Taste
spicy,5.843225806,1.037600841,0.680765854,0.838365366,Taste
stale,5.518959538,1.181044654,0.208488506,0.656731871,Taste
stenchy,5.62,0.556153072,5,4.936015703,Smell
stinky,5.485862069,1.090875091,0.092655172,0.603621231,Smell
sweaty,5.453203883,1.09066436,0.115298507,0.527757547,Smell
sweet,5.681452671,1.170262758,0.237406452,0.647960889,Taste
tangy,5.876625,1.07847067,0.563788235,0.830056111,Taste
tart,5.990337079,1.209947611,0.428849462,0.709952146,Taste
tasteless,5.661060606,1.089008972,0.015242424,0.750545455,Taste
tasty,5.894336735,1.117012917,0.481465347,0.71510554,Taste
unpalatable,5.535185185,1.118233188,-0.113962963,0.444034129,Taste
vinegary,6.248095238,1.53904714,0.434545455,0.680369347,Taste
